"tree_species","neighbourhood_name","tree_scale","height_range_id","n_tree"
"ACER PLATANOIDES","HASTINGS-SUNRISE","short",1,447
"ACER PLATANOIDES","KENSINGTON-CEDAR COTTAGE","short",1,418
"ACER PLATANOIDES","KERRISDALE","short",1,366
"ACER PLATANOIDES","KILLARNEY","short",1,113
"ACER PLATANOIDES","KITSILANO","short",1,264
"ACER PLATANOIDES","MARPOLE","short",1,157
"ACER PLATANOIDES","MOUNT PLEASANT","short",1,133
"ACER PLATANOIDES","OAKRIDGE","short",1,173
"ACER PLATANOIDES","RENFREW-COLLINGWOOD","short",1,447
"ACER PLATANOIDES","RILEY PARK","short",1,212
"ACER PLATANOIDES","SHAUGHNESSY","short",1,363
"ACER PLATANOIDES","SOUTH CAMBIE","short",1,116
"ACER PLATANOIDES","STRATHCONA","short",1,73
"ACER PLATANOIDES","SUNSET","short",1,390
"ACER PLATANOIDES","VICTORIA-FRASERVIEW","short",1,251
"ACER PLATANOIDES","WEST END","short",1,93
"ACER PLATANOIDES","WEST POINT GREY","short",1,246
"ACER RUBRUM","ARBUTUS-RIDGE","short",1,124
"ACER RUBRUM","DOWNTOWN","short",1,549
"ACER RUBRUM","DUNBAR-SOUTHLANDS","short",1,307
"ACER RUBRUM","FAIRVIEW","short",1,222
"ACER RUBRUM","GRANDVIEW-WOODLAND","short",1,204
"ACER RUBRUM","HASTINGS-SUNRISE","short",1,264
"ACER RUBRUM","KENSINGTON-CEDAR COTTAGE","short",1,327
"ACER RUBRUM","KERRISDALE","short",1,229
"ACER RUBRUM","KILLARNEY","short",1,256
"ACER RUBRUM","KITSILANO","short",1,111
"ACER RUBRUM","MARPOLE","short",1,198
"ACER RUBRUM","MOUNT PLEASANT","short",1,211
"ACER RUBRUM","OAKRIDGE","short",1,163
"ACER RUBRUM","RENFREW-COLLINGWOOD","short",1,412
"ACER RUBRUM","RILEY PARK","short",1,133
"ACER RUBRUM","SHAUGHNESSY","short",1,148
"ACER RUBRUM","SOUTH CAMBIE","short",1,137
"ACER RUBRUM","STRATHCONA","short",1,132
"ACER RUBRUM","SUNSET","short",1,332
"ACER RUBRUM","VICTORIA-FRASERVIEW","short",1,182
"ACER RUBRUM","WEST END","short",1,187
"ACER RUBRUM","WEST POINT GREY","short",1,60
"CARPINUS BETULUS","ARBUTUS-RIDGE","short",1,71
"CARPINUS BETULUS","DOWNTOWN","short",1,174
"CARPINUS BETULUS","DUNBAR-SOUTHLANDS","short",1,33
"CARPINUS BETULUS","FAIRVIEW","short",1,47
"CARPINUS BETULUS","GRANDVIEW-WOODLAND","short",1,190
"CARPINUS BETULUS","HASTINGS-SUNRISE","short",1,314
"CARPINUS BETULUS","KENSINGTON-CEDAR COTTAGE","short",1,290
"CARPINUS BETULUS","KERRISDALE","short",1,71
"CARPINUS BETULUS","KILLARNEY","short",1,257
"CARPINUS BETULUS","KITSILANO","short",1,71
"CARPINUS BETULUS","MARPOLE","short",1,234
"CARPINUS BETULUS","MOUNT PLEASANT","short",1,202
"CARPINUS BETULUS","OAKRIDGE","short",1,77
"CARPINUS BETULUS","RENFREW-COLLINGWOOD","short",1,253
"CARPINUS BETULUS","RILEY PARK","short",1,149
"CARPINUS BETULUS","SHAUGHNESSY","short",1,63
"CARPINUS BETULUS","SOUTH CAMBIE","short",1,60
"CARPINUS BETULUS","STRATHCONA","short",1,64
"CARPINUS BETULUS","SUNSET","short",1,329
"CARPINUS BETULUS","VICTORIA-FRASERVIEW","short",1,178
"CARPINUS BETULUS","WEST END","short",1,46
"CARPINUS BETULUS","WEST POINT GREY","short",1,18
"FAGUS SYLVATICA","ARBUTUS-RIDGE","short",1,61
"FAGUS SYLVATICA","DOWNTOWN","short",1,289
"FAGUS SYLVATICA","DUNBAR-SOUTHLANDS","short",1,115
"FAGUS SYLVATICA","FAIRVIEW","short",1,102
"FAGUS SYLVATICA","GRANDVIEW-WOODLAND","short",1,162
"FAGUS SYLVATICA","HASTINGS-SUNRISE","short",1,163
"FAGUS SYLVATICA","KENSINGTON-CEDAR COTTAGE","short",1,313
"FAGUS SYLVATICA","KERRISDALE","short",1,72
"FAGUS SYLVATICA","KILLARNEY","short",1,78
"FAGUS SYLVATICA","KITSILANO","short",1,127
"FAGUS SYLVATICA","MARPOLE","short",1,100
"FAGUS SYLVATICA","MOUNT PLEASANT","short",1,127
"FAGUS SYLVATICA","OAKRIDGE","short",1,92
"FAGUS SYLVATICA","RENFREW-COLLINGWOOD","short",1,360
"FAGUS SYLVATICA","RILEY PARK","short",1,155
"FAGUS SYLVATICA","SHAUGHNESSY","short",1,29
"FAGUS SYLVATICA","SOUTH CAMBIE","short",1,79
"FAGUS SYLVATICA","STRATHCONA","short",1,222
"FAGUS SYLVATICA","SUNSET","short",1,182
"FAGUS SYLVATICA","VICTORIA-FRASERVIEW","short",1,380
"FAGUS SYLVATICA","WEST END","short",1,80
"FAGUS SYLVATICA","WEST POINT GREY","short",1,30
"MAGNOLIA KOBUS","ARBUTUS-RIDGE","short",1,106
"MAGNOLIA KOBUS","DOWNTOWN","short",1,48
"MAGNOLIA KOBUS","DUNBAR-SOUTHLANDS","short",1,39
"MAGNOLIA KOBUS","FAIRVIEW","short",1,13
"MAGNOLIA KOBUS","GRANDVIEW-WOODLAND","short",1,91
"MAGNOLIA KOBUS","HASTINGS-SUNRISE","short",1,112
"MAGNOLIA KOBUS","KENSINGTON-CEDAR COTTAGE","short",1,200
"MAGNOLIA KOBUS","KERRISDALE","short",1,150
"MAGNOLIA KOBUS","KILLARNEY","short",1,126
"MAGNOLIA KOBUS","KITSILANO","short",1,204
"MAGNOLIA KOBUS","MARPOLE","short",1,43
"MAGNOLIA KOBUS","MOUNT PLEASANT","short",1,35
"MAGNOLIA KOBUS","OAKRIDGE","short",1,124
"MAGNOLIA KOBUS","RENFREW-COLLINGWOOD","short",1,221
"MAGNOLIA KOBUS","RILEY PARK","short",1,133
"MAGNOLIA KOBUS","SHAUGHNESSY","short",1,96
"MAGNOLIA KOBUS","SOUTH CAMBIE","short",1,47
"MAGNOLIA KOBUS","STRATHCONA","short",1,13
"MAGNOLIA KOBUS","SUNSET","short",1,29
"MAGNOLIA KOBUS","VICTORIA-FRASERVIEW","short",1,139
"MAGNOLIA KOBUS","WEST END","short",1,9
"MAGNOLIA KOBUS","WEST POINT GREY","short",1,45
"PRUNUS CERASIFERA","ARBUTUS-RIDGE","short",1,388
"PRUNUS CERASIFERA","DUNBAR-SOUTHLANDS","short",1,679
"PRUNUS CERASIFERA","FAIRVIEW","short",1,88
"PRUNUS CERASIFERA","GRANDVIEW-WOODLAND","short",1,89
"PRUNUS CERASIFERA","HASTINGS-SUNRISE","short",1,555
"PRUNUS CERASIFERA","KENSINGTON-CEDAR COTTAGE","short",1,310
"PRUNUS CERASIFERA","KERRISDALE","short",1,407
"PRUNUS CERASIFERA","KILLARNEY","short",1,313
"PRUNUS CERASIFERA","KITSILANO","short",1,252
"PRUNUS CERASIFERA","MARPOLE","short",1,386
"PRUNUS CERASIFERA","MOUNT PLEASANT","short",1,58
"PRUNUS CERASIFERA","OAKRIDGE","short",1,519
"PRUNUS CERASIFERA","RENFREW-COLLINGWOOD","short",1,480
"PRUNUS CERASIFERA","RILEY PARK","short",1,438
"PRUNUS CERASIFERA","SHAUGHNESSY","short",1,464
"PRUNUS CERASIFERA","SOUTH CAMBIE","short",1,151
"PRUNUS CERASIFERA","STRATHCONA","short",1,24
"PRUNUS CERASIFERA","SUNSET","short",1,600
